customerId,RG_case,Missing_Daily_Transactions,CountryName,LanguageName,Gender,YearofBirth,age_at_registration,sum_stakes_fixedodds,sum_bets_fixedodds,bettingdays_fixedodds,duration_fixedodds,frequency_fixedodds,bets_per_day_fixedodds,euros_per_bet_fixedodds,net_loss_fixedodds,percent_lost_fixedodds,sum_stakes_liveaction,sum_bets_liveaction,bettingdays_liveaction,duration_liveaction,frequency_liveaction,bets_per_day_liveaction,euros_per_bet_liveaction,net_loss_liveaction,percent_lost_liveaction,sum_stakes_casino,sum_bets_casino,bettingdays_casino,duration_casino,frequency_casino,bets_per_day_casino,euros_per_bet_casino,net_loss_casino,percent_lost_casino,net_loss_fixedodds_nonzero,percent_lost_fixedodds_nonzero,net_loss_liveaction_nonzero,percent_lost_liveaction_nonzero,net_loss_casino_nonzero,percent_lost_casino_nonzero,sum_stakes_fixedodds_sqrt,sum_bets_fixedodds_sqrt,bettingdays_fixedodds_sqrt,duration_fixedodds_sqrt,frequency_fixedodds_sqrt,bets_per_day_fixedodds_sqrt,euros_per_bet_fixedodds_sqrt,net_loss_fixedodds_nonzero_sqrt,percent_lost_fixedodds_nonzero_sqrt,sum_stakes_liveaction_sqrt,sum_bets_liveaction_sqrt,bettingdays_liveaction_sqrt,duration_liveaction_sqrt,frequency_liveaction_sqrt,bets_per_day_liveaction_sqrt,euros_per_bet_liveaction_sqrt,net_loss_liveaction_nonzero_sqrt,percent_lost_liveaction_nonzero_sqrt,sum_stakes_casino_sqrt,sum_bets_casino_sqrt,bettingdays_casino_sqrt,duration_casino_sqrt,frequency_casino_sqrt,bets_per_day_casino_sqrt,euros_per_bet_casino_sqrt,net_loss_casino_nonzero_sqrt,percent_lost_casino_nonzero_sqrt,sum_stakes_fixedodds_sqrt_zeros,sum_bets_fixedodds_sqrt_zeros,bettingdays_fixedodds_sqrt_zeros,duration_fixedodds_sqrt_zeros,frequency_fixedodds_sqrt_zeros,bets_per_day_fixedodds_sqrt_zeros,euros_per_bet_fixedodds_sqrt_zeros,net_loss_fixedodds_sqrt_zeros,percent_lost_fixedodds_sqrt_zeros,sum_stakes_liveaction_sqrt_zeros,sum_bets_liveaction_sqrt_zeros,bettingdays_liveaction_sqrt_zeros,duration_liveaction_sqrt_zeros,frequency_liveaction_sqrt_zeros,bets_per_day_liveaction_sqrt_zeros,euros_per_bet_liveaction_sqrt_zeros,net_loss_liveaction_sqrt_zeros,percent_lost_liveaction_sqrt_zeros,sum_stakes_casino_sqrt_zeros,sum_bets_casino_sqrt_zeros,bettingdays_casino_sqrt_zeros,duration_casino_sqrt_zeros,frequency_casino_sqrt_zeros,bets_per_day_casino_sqrt_zeros,euros_per_bet_casino_sqrt_zeros,net_loss_casino_sqrt_zeros,churn,DaysLastOrder
380781,1,0,Germany,German,M,1966,35,7723,2037,837,2983,0,2,4,1519,0,2628,1208,452,2689,0,3,2,297,0,74183,17346,337,2800,0,51,4,3,0,34737,13,22,8,39,7,88,45,29,55,1,2,2,186,4,51,35,21,52,0,2,1,150,3,272,132,18,53,0,7,2,197,3,88,45,29,55,1,2,2,186,4,51,35,21,52,0,2,1,150,3,272,132,18,53,0,7,2,197,FALSE,-13
1290126,0,0,Denmark,English,M,1965,39,606,431,217,1818,0,2,1,213,0,3,2,2,325,0,1,1,3,1,33431,13,22066,9,25,21,15,43,0,1,1,183,4,2,1,1,18,0,1,1,149,3,25,21,15,43,0,1,1,183,4,2,1,1,18,0,1,1,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-13
1803500,1,0,Germany,German,M,1987,18,4155,1152,164,1797,0,7,4,2015,0,207,25,17,1693,0,1,8,132,1,14,14,1,1,1,14,1,9,1,35233,13,22195,9,35861,8,64,34,13,42,0,3,2,188,4,14,5,4,41,0,1,3,149,3,4,4,1,1,1,4,1,189,3,64,34,13,42,0,3,2,188,4,14,5,4,41,0,1,3,149,3,4,4,1,1,1,4,1,189,FALSE,-14
1089300,1,0,Austria,German,M,1986,18,43151,692,220,1722,0,3,62,6078,0,78271,1705,183,1817,0,9,46,5160,0,426424,18118,252,1578,0,72,24,1,0,39,13,27,8,36894,7,208,26,15,41,0,2,8,198,4,280,41,14,43,0,3,7,165,3,653,135,16,40,0,8,5,192,3,208,26,15,41,0,2,8,198,4,280,41,14,43,0,3,7,165,3,653,135,16,40,0,8,5,192,FALSE,-14
2633677,1,0,Germany,German,F,1985,20,1372,214,131,1049,0,2,6,235,0,24890,4798,294,1049,0,16,5,1495,0,33453,13,23558,8,37,15,11,32,0,1,3,183,4,158,69,17,32,1,4,2,153,3,37,15,11,32,0,1,3,183,4,158,69,17,32,1,4,2,153,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-14
4066997,0,0,Norway,Swedish,M,1985,21,2573,498,209,1041,0,2,5,-89,0,7,4,2,611,0,2,2,1,0,4928,23327,61,917,0,382,0,367,0,33,13,22,8,36219,7,51,22,14,32,0,2,2,182,4,3,2,1,25,0,1,1,149,3,70,153,8,30,0,20,0,190,3,51,22,14,32,0,2,2,182,4,3,2,1,25,0,1,1,149,3,70,153,8,30,0,20,0,190,FALSE,-14
4063603,1,0,France_COM,French,M,1983,23,5741,126,61,440,0,2,46,650,0,105958,1583,165,656,0,10,67,3494,0,9520,2542,11,243,0,231,4,-264,0,34,13,26,8,35588,7,76,11,8,21,0,1,7,184,4,326,40,13,26,1,3,8,160,3,98,50,3,16,0,15,2,189,3,76,11,8,21,0,1,7,184,4,326,40,13,26,1,3,8,160,3,98,50,3,16,0,15,2,189,FALSE,-14
1761005,0,0,France_COM,French,M,1983,21,721,769,29,523,0,27,1,199,0,25,24,4,153,0,6,1,11,0,33417,13,22074,8,27,28,5,23,0,5,1,183,4,5,5,2,12,0,2,1,149,3,27,28,5,23,0,5,1,183,4,5,5,2,12,0,2,1,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-14
1738054,1,0,Italy_BAW,Italian,M,1981,24,1071,21,13,1461,0,2,51,407,0,199502,2062,158,1489,0,13,97,11520,0,33625,13,33583,8,33,5,4,38,0,1,7,183,4,447,45,13,39,0,4,10,183,3,33,5,4,38,0,1,7,183,4,447,45,13,39,0,4,10,183,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-14
4224452,0,0,Germany,German,M,1980,26,31,6,3,32,0,2,5,31,1,507,93,3,34,0,31,5,-46,0,33249,14,35807,7,6,2,2,6,0,1,2,182,4,23,10,2,6,0,6,2,189,3,6,2,2,6,0,1,2,182,4,0,0,0,0,0,0,0,0,0,23,10,2,6,0,6,2,189,3,,,,,,,,,,,,,,,,,,,,FALSE,-14
1516508,1,0,Germany,German,M,1980,24,3672,1178,103,1993,0,11,3,-1812,0,114316,1333,118,1485,0,11,86,539,0,31406,13,22602,8,61,34,10,45,0,3,2,177,4,338,37,11,39,0,3,9,150,3,61,34,10,45,0,3,2,177,4,338,37,11,39,0,3,9,150,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-14
709566,0,0,Poland,Polish,M,1977,26,15878,881,329,1527,0,3,18,-5317,0,1031,86,44,1470,0,2,12,-208,0,27901,13,21855,8,126,30,18,39,0,2,4,167,4,32,9,7,38,0,1,3,148,3,126,30,18,39,0,2,4,167,4,32,9,7,38,0,1,3,148,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-14
2085469,1,0,Germany,German,M,1974,31,5980,1636,428,1421,0,4,4,1402,0,10050,4041,436,1420,0,9,2,1571,0,1410,8,2,5,0,4,176,-390,0,34620,13,23634,8,35462,7,77,40,21,38,1,2,2,186,4,100,64,21,38,1,3,2,154,3,38,3,1,2,1,2,13,188,3,77,40,21,38,1,2,2,186,4,100,64,21,38,1,3,2,154,3,38,3,1,2,1,2,13,188,FALSE,-14
3033642,1,0,Germany,German,M,1970,36,32727,962,283,1494,0,3,34,6493,0,34460,904,206,1525,0,4,38,4370,0,3298,202,4,5,1,51,16,120,0,39711,13,26,8,35972,7,181,31,17,39,0,2,6,199,4,186,30,14,39,0,2,6,163,3,57,14,2,2,1,7,4,190,3,181,31,17,39,0,2,6,199,4,186,30,14,39,0,2,6,163,3,57,14,2,2,1,7,4,190,FALSE,-14
4212210,0,0,Germany,German,F,1959,47,198,175,29,1117,0,6,1,49,0,41,36,11,346,0,3,1,4,0,1466,1127,12,1141,0,94,1,36,0,33,13,22,8,35888,7,14,13,5,33,0,2,1,182,4,6,6,3,19,0,2,1,149,3,38,34,3,34,0,10,1,189,3,14,13,5,33,0,2,1,182,4,6,6,3,19,0,2,1,149,3,38,34,3,34,0,10,1,189,FALSE,-14
2962326,1,0,Germany,German,F,1986,19,1813,166,57,252,0,3,11,234,0,9435,631,66,257,0,10,15,-111,0,33452,13,21952,8,43,13,8,16,0,2,3,183,4,97,25,8,16,1,3,4,148,3,43,13,8,16,0,2,3,183,4,97,25,8,16,1,3,4,148,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-15
2048423,1,0,Austria,German,F,1986,19,3640,419,115,1813,0,4,9,-211,0,1006,45,22,1399,0,2,22,21,0,1009794,10805,431,1487,0,25,93,6,0,33,13,22,8,42,7,60,20,11,43,0,2,3,182,4,32,7,5,37,0,1,5,149,3,1,104,21,39,1,5,10,205,3,60,20,11,43,0,2,3,182,4,32,7,5,37,0,1,5,149,3,1,104,21,39,1,5,10,205,FALSE,-15
1481182,1,0,Poland,Polish,M,1985,19,516,120,55,1511,0,2,4,-144,0,27895,3171,173,1619,0,18,9,2310,0,5,5,1,1,1,5,1,5,1,33,13,24,8,35857,8,23,11,7,39,0,1,2,182,4,167,56,13,40,0,4,3,156,3,2,2,1,1,1,2,1,189,3,23,11,7,39,0,1,2,182,4,167,56,13,40,0,4,3,156,3,2,2,1,1,1,2,1,189,FALSE,-15
3897491,0,0,Germany,German,M,1985,21,130,59,22,686,0,3,2,51,0,33269,13,11,8,5,26,0,2,1,182,4,11,8,5,26,0,2,1,182,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,-15
1610754,1,0,Germany,German,M,1984,20,22000,3382,232,1156,0,15,7,-1043,0,43064,4056,277,1160,0,15,11,27,0,155999,12269,17,349,0,722,13,6,0,32,13,22,8,42175,7,148,58,15,34,0,4,3,179,4,208,64,17,34,0,4,3,149,3,395,111,4,19,0,27,4,205,3,148,58,15,34,0,4,3,179,4,208,64,17,34,0,4,3,149,3,395,111,4,19,0,27,4,205,FALSE,-15
2838112,1,0,Germany,German,M,1984,21,210,20,7,1482,0,3,11,200,1,531,65,22,286,0,3,8,59,0,33418,14,22122,8,14,4,3,38,0,2,3,183,4,23,8,5,17,0,2,3,149,3,14,4,3,38,0,2,3,183,4,23,8,5,17,0,2,3,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-15
3744005,0,0,Turkey,Turkish,M,1983,23,246,19,9,121,0,2,13,7,0,3,1,1,1,1,1,3,3,1,33225,13,22066,9,16,4,3,11,0,1,4,182,4,2,1,1,1,1,1,2,149,3,16,4,3,11,0,1,4,182,4,2,1,1,1,1,1,2,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-15
4112499,1,0,Germany,German,M,1983,23,3181,183,93,1371,0,2,17,1391,0,33651,1188,223,1416,0,5,28,4455,0,34609,13,26518,8,56,14,10,37,0,1,4,186,4,183,34,15,38,0,2,5,163,3,56,14,10,37,0,1,4,186,4,183,34,15,38,0,2,5,163,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-15
2455322,1,0,Germany,German,M,1982,23,21980,1321,246,1734,0,5,17,752,0,63281,581,139,1703,0,4,109,-2240,0,174,123,5,660,0,25,1,15,0,34,13,20,8,35867,7,148,36,16,42,0,2,4,184,4,252,24,12,41,0,2,10,141,3,13,11,2,26,0,5,1,189,3,148,36,16,42,0,2,4,184,4,252,24,12,41,0,2,10,141,3,13,11,2,26,0,5,1,189,FALSE,-15
1524893,0,0,Italy_BAW,English,M,1981,23,189,62,34,1043,0,2,3,189,1,0,1,1,1,1,1,0,0,1,220339,55843,105,897,0,532,4,7,0,33,14,22,9,43,7,14,8,6,32,0,1,2,183,4,0,1,1,1,1,1,0,149,3,469,236,10,30,0,23,2,206,3,14,8,6,32,0,1,2,183,4,0,1,1,1,1,1,0,149,3,469,236,10,30,0,23,2,206,FALSE,-15
656052,0,0,Germany,German,M,1980,22,1168,1561,329,1402,0,5,1,124,0,11,14,9,635,0,2,1,0,0,33342,13,22063,8,34,40,18,37,0,2,1,183,4,3,4,3,25,0,1,1,149,3,34,40,18,37,0,2,1,183,4,3,4,3,25,0,1,1,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,FALSE,-15
4179627,0,0,Germany,German,M,1980,26,10,7,3,114,0,2,1,4,0,33222,13,3,3,2,11,0,2,1,182,4,3,3,2,11,0,2,1,182,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,-15
